user_id,conference_key,rating,review,timestamp
user_31,FlAIRS - Florida Artificial Intelligence Research Society Conference,3,Seamless transitions between sessions and clear communication. The catering was subpar and options were very limited.,1688563956
user_31,SODA - ACM/SIAM Symposium on Discrete Algorithms,3,There was a noticeable shift in focus towards industry applications.,1732577842
user_31,IDC - Intelligent Distributed Computing,2,"The research was strong; however, . The catering was subpar and options were very limited. Too many parallel tracks made it impossible to see everything of interest. Exceptional networking opportunities with leading researchers.",1683253767
user_31,"ICSME - IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",1,"Felt like many presentations were incremental at best. Networking felt cliquey and difficult for newcomers. The venue was too small for the number of attendees, leading to overcrowding. A boring host city with very few amenities nearby.",1679853746
user_31,VEHITS - International Conference on Vehicle Technology and Intelligent Transport Systems,5,"The opening keynote set a fantastic tone for the entire event. A beautiful and well-equipped venue. The host city was a wonderful choice, with plenty to see and do.",1721532681
user_31,DSN - IEEE/IFIP International Conference on Dependable Systems and Networks,4,"It was a good conference, although. Registration was a breeze and the staff were very helpful. Groundbreaking research was presented throughout. The catering was subpar and options were very limited.",1663607005
user_31,HIPS - International Workshop on High-Level Parallel Programming Models and Supportive Environments,4,A very scenic and enjoyable location for a conference.,1665706574
user_31,INDIN - IEEE International Conference on Industrial Informatics,4,I found the sessions incredibly insightful. Registration was a breeze and the staff were very helpful.,1674720632
user_31,EuroMPI - European MPI Users' Group Conference,5,The social events were vibrant and well-attended. A very scenic and enjoyable location for a conference.,1751956174
user_31,ICAIL - International Conference on Artificial Intelligence and Law,3,"Registration was a breeze and the staff were very helpful. The Wi-Fi was unreliable, which is unacceptable for a tech conference.",1718924742
user_31,NPC - IFIP International Conference on Network and Parallel Computing,3,The location was inconvenient and difficult to get to. The poster sessions were buzzing with energy and great discussions.,1733318551
user_31,CVPR - IEEE Conference on Computer Vision and Pattern Recognition,3,The conference app made it easy to connect with other attendees. The weather at the location was a major downside.,1716338045
user_31,EAMT - Conference of the European Association for Machine Translation,2,"It was a good conference, although. Some presentations were rushed and poorly prepared. A boring host city with very few amenities nearby. Registration was a breeze and the staff were very helpful.",1732848831
user_31,CloudCom - IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),1,The location was inconvenient and difficult to get to. Too many parallel tracks made it impossible to see everything of interest. The poster session was disorganized and cramped. The cost is becoming a significant barrier for students and academics from smaller institutions.,1699392197
