2264,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,CORE2023,B,Yes,4608,4605,
576,Health Informatics Conference,HIC,CORE2023,Australasian C,Yes,4601,,
1048,International Conference on High Performance Computing,HiPC,CORE2023,National: India,Yes,4606,,
1056,International Conference on Hybrid Intelligent Systems,HIS,CORE2023,C,No,4602,,
1486,International workshop on High-Level Parallel Programming and Applications,HLPP,CORE2023,C,No,4606,,
746,IEEE Symposium on High-Performance Interconnects,HOTI,CORE2023,National: USA,No,4606,,
1914,Workshop on Mobile Computing Systems and Applications,HOTMOBILE,CORE2023,National: USA,No,4606,,
69,ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2023,National: USA,No,4606,,
1845,USENIX Workshop on Hot Topics in Operating Systems,HotOS,CORE2023,A,Yes,4606,,
1386,International Symposium on High Performance Computer Architecture,HPCA,CORE2023,A*,Yes,CSE,4606,
652,IEEE International Conference on High Performance Computing and Communications,HPCC,CORE2023,C,Yes,4606,,
33,ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2023,A,No,4606,CSE,
1050,International Conference on High Performance Scientific Computing,HPSC,CORE2023,National: Vietnam,No,4606,,
771,IEEE Workshop on High Performance Switching and Routing,HPSR,CORE2023,C,No,4606,,
2310,ACM/IEEE International Conference on Human-Robot Interaction,HRI,CORE2023,A,Yes,4608,4602,
584,Human System Interaction,HSI,CORE2023,C,No,4608,,
85,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2023,B,Yes,4607,4608,
836,Innovative Applications in AI,IAAI,CORE2023,C,No,4602,4601,
1388,International Symposium on Information Assurance and Security,IAS,CORE2023,C,No,4604,,
1316,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,CORE2023,C,Yes,4605,,
910,International Conference on Artificial Intelligence and Law,ICAIL,CORE2023,C,No,4602,4601,
628,IEEE International Conference on Advanced Learning Technologies,ICALT,CORE2023,B,Yes,4601,4608,
915,International Conference on Artificial Neural Networks,ICANN,CORE2023,C,Yes,4611,,
919,International Conference on Automated Planning and Scheduling,ICAPS,CORE2023,A*,Yes,4602,,
2042,"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,CORE2023,B,No,4603,,
2304,IEEE International Conference on Blockchain and Cryptocurrency,ICBC,CORE2023,C,Yes,4606,4604,4612
928,International Conference on Case-Based Reasoning,ICCBR,CORE2023,C,Yes,4602,,
2199,International Conference on Computational Creativity,ICCC,CORE2023,C,Yes,46,,
942,International Conference on Computational Collective Intelligence,ICCCI,CORE2023,B,Yes,4602,4606,
2038,International Conference on Computer Communication and Networks,ICCCN,CORE2023,B,Yes,4606,,
967,International Conference on Computers in Education,ICCE,CORE2023,C,Yes,4601,,
966,International Conference on Computers Helping People with Special Needs,ICCHP,CORE2023,C,No,4601,,
