title,acronym
"International Conference on Informatics in Control, Automation and Robotics",ICINCO
International Conference on Methods and Models in Automation and Robotics,MMAR
International Workshop on Multimedia Signal Processing,MMSP
ACM International Conference on Mobile Computing and Networking,MOBICOM
International Conference on Mobile Systems and Pervasive Computing,MobiSPC
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI
Modelling and Optimization: Theory and Applications,MOPTA
International Conference on Advances in Mobile Computing and Multimedia,MOMM
Usenix Network and Distributed System Security Symposium,NDSS
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC
International Conference on Network Softwarization,NetSoft
"Symposium on Networked Systems, Design and Implementation",NSDI
SIAM Conference on Optimization,OP
Nordic Conference on Human-Computer Interaction,NordiCHI
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB
Usenix Symposium on Operating Systems Design and Implementation,OSDI
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA
Passive and Active Measurement Conference,PAM
"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP
Workshop on Programming Languages and Operating Systems,PLOS
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI
ACM-SIGACT Symposium on Principles of Programming Languages,POPL
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS
ACM SIGOPS Symposium on Operating Systems Principles,SOSP
Symposium on Parallelism in Algorithms and Architectures,SPAA
"Tangible, Embedded, and Embodied Interaction",TEI
International Conference on Technical Debt,TechDebt
ACM International Conference on Web Search and Data Mining,WSDM
Conference on Learning Theory,COLT
International Conference on Principles and Practice of Constraint Programming,CP
International Conference on Management of Data,COMAD
"International Conference on Complexity, Future Information Systems and Risk",COMPLEXIS
Digital Audio Effects Conference,DAFX
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR
Annual Conference on Computer Science Logic,CSL
International Computer Science Symposium in Russia,CSR
ACM Symposium on Document Engineering,DocEng
The Theory and Application of Diagrams,DIAGRAMS
International Conference on Database Systems for Advanced Applications,DASFAA
Discovery Science,DS
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS
European Association for Computational Linguistics,EACL
Dynamic Languages Symposium,DLS
Workshop on Domain Specific Modelling,DSM
European Conference on Digital Government,ECDG
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database,ECML PKDD
Conference of the European Association for Machine Translation,EAMT
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN
European Conference on Information Retrieval,ECIR
European Conference on Modelling Foundations and Applications,ECMFA
International Conference on Communication Systems and Applications,ICCSA
International Conference on Computer Vision and Graphics,ICCVG
IEEE International Conference on Data Science and Engineering,ICDSE
International Conference on Image Analysis and Processing,ICIAP
International Conference on Information and Communications Security,ICICS
IEEE International Conference on Global Software Engineering,ICGSE
International Conference on Information Systems Security and Privacy,ICISSP
International Conference on Information Technology and Applications,ICITA
International Conference on Database Theory,ICDT
International Symposium on Mathematical Foundations of Computer Science,MFCS
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS
International Conference on Mathematical Foundations of Programming Semantics,MFPS
IEEE Conference on Mass Storage Systems and Technologies,MSST
International Conference on Management of Digital EcoSystems,MEDES
International Conference on Formal Methods and Models for Co-Design,MEMOCODE
International Symposium on the Mathematical Theory of Networks and Systems,MTNS
International Workshop on Modelling in Software Engineering,MISE
International Conference on Model and Data Engineering,MEDI
International Conference on Functional Programming,ICFP
IEEE/ACIS International Conference on Computer and Information Science,ICIS
"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward
Advances in Neural Information Processing Systems,NeurIPS
International Symposium on Open Collaboration,OPENSYM
"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",PERFORMANCE
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM
Practical Aspects of Declarative Languages,PADL
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC
Practice and Theory of Automated Timetabling,PATAT
International Conference on Practice and Theory in Public Key Cryptography,PKC
IEEE Symposium on Security and Privacy,SP
International Workshop on Soft Computing Applications,SOFA
Pattern Languages of Programs,PLOP
The Symposium of Combinatorial Search,SoCS
Software Process Improvement and Capability Determination,SPICE
International Conference on Software Quality Management,SQM
ACM Symposium on Solid and Physical Modelling,SPM
International Symposium on String Processing and Information Retrieval,SPIRE
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX
Australasian Speech Science and Technology,SST
IFAC Conference on System Structure and Control,SSSC
Tools and Algorithms for Construction and Analysis of Systems,TACAS
International Conference on Theory and Practice of Digital Libraries,TPDL
International Conference on Unconventional Computation and Natural Computation,UC
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus
International Conference on Tests and Proofs,TAP
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom
Conference on Agile Software Development,XP
Conference on Software in Telecommunications and Computer Networks,SOFTCOM
International World Wide Web Conference,WWW
International Conference on Concurrency Theory,CONCUR
International Conference on Computer Supported Education,CSEDU
International Conference on Digital Society,ICDS
International Conference on Multimodal Interaction,ICMI
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL
Malaysia International Conference on Communications,MICC
International Conference on Interactive Digital Storytelling,ICIDS
New Zealand Game Developers Conference,NZGDC
IEEE Pacific Visualization Symposium,PacificVis
IEEE International Conference on Pervasive Computing and Communications,PERCOM
The ACM International System and Storage Conference,SYSTOR
International Conference on Data Engineering,ICDE
International Conference on Evaluation and Assessment in Software Engineering,EASE
European Conference on Software Architecture,ECSA
IEEE International Working Conference on Mining Software Repositories,MSR
International Conference on Model-Driven Engineering and Software Development,MODELSWARD
International Conference on Managed Programming Languages and Runtimes,MPLR
International Conference on Coordination Models and Languages,Coordination
International Conference on Machine Learning and Applications,ICMLA
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM
Australasian Conference on Information Security and Privacy,ACISP
European Symposium on Programming,ESOP
International Colloquium on Theoretical Aspects of Computing,ICTAC
Utility and Cloud Computing,UCC
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS
International Conference on Natural Computation,ICNC
Simulation and Synthesis in Medical Imaging,SASHIMI
International Conference on Internet Monitoring and Protection,ICIMP
International Conference on Internet and Web Applications and Services,ICIW
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM
Web and Big Data,APWEB
Asia-Pacific Network Operations and Management Symposium,APNOMS
"International Conference on Availability, Reliability and Security",ARES
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms",AofA
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM
International Conference on Advanced and Trusted Computing,ATC
National Conference of The Australian Society for Operations Research,ASOR
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS
Australian Data Mining Conference,AusDM
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT
IEEE International Conference on Big Data,BigData
IEEE Bioinformatics and Bioengineering,BIBE
Australasian Symposium on Parallel and Distributed Computing,AusPDC
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS
Conference on Algebra and Coalgebra in Computer Science,CALCO
Smart Card Research and Advanced Application Conference,CARDIS
International Conference on Advanced Information Systems Engineering,CaiSE
International Conference on Computers and their Applications,CATA
Computer Algebra in Scientific Computing,CASC
International Conference on Computability and Complexity in Analysis,CCA
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM
IEEE Congress on Evolutionary Computation,CEC
Computer Graphics International,CGI
Information Security Symposium,CERIAS
"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS
International Conference on Network and Service Management,CNSM
International Conference on Computing and Combinatorics,COCOON
"International Conference on Control, Decision and Information Technologies",CoDIT
IEEE International Conference on Cloud Computing Technology and Science,CloudCom
Conference on Information Sciences and Systems,CISS
International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS
Heterogeneity in Computing Workshop,HCW
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia
Symposium on High Performance Chips,HOTCHIPS
International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP
International Colloquium on Automata Languages and Programming,ICALP
IEEE/ACM International Conference on Computer-Aided Design,ICCAD
IEEE International Conference on Computer Design,ICCD
IEEE International Performance Computing and Communications Conference,IPCCC
Conference on Integer Programming and Combinatorial Optimization,IPCO
International Conference on Indoor Positioning and Indoor Navigation,IPIN
Information Processing in Sensor Networks,IPSN
IEEE International Conference on Information Reuse and Integration,IRI
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS
International Symposium on Algorithms and Computation,ISAAC
IEEE Symposium on Computers and Communications,ISCC
International Conference on Intelligent Systems and Knowledge Engineering,ISKE
"International Symposium on Networks, Computers and Communications",ISNCC
International Symposium on Neural Networks,ISNN
International Symposium on Parallel and Distributed Computing,ISPDC
International Symposium on Robotics Research,ISRR
International Symposium on Symbolic and Algebraic Computation,ISSAC
International Symposium on Software Testing and Analysis,ISSTA
IEEE International Symposium on Wearable Computers,ISWC
Innovations in Theoretical Computer Science,ITCS
International Telecommunication Networks and Applications Conference,ITNAC
Conference on Interactive Theorem Proving,ITP
International Conference on Intelligent Tutoring Systems,ITS
International Conference on Intelligent User Interfaces,IUI
Intelligent Virtual Agents,IVA
ACM International Wireless Communications and Mobile Computing Conference,IWCMC
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement,IWSM Mensura
"Logics in Artificial Intelligence, European Conference",JELIA
Workshop on Job Scheduling Strategies for Parallel Processing,JSSPP
International Conference on Legal Knowledge and Information Systems,JURIX
Knowledge capture,K-CAP
ACM International Conference on Knowledge Discovery and Data Mining,KDD
"Latin-American Algorithms, Graphs and Optimization Symposium",LAGOS
International Symposium on Latin American Theoretical Informatics,LATIN
"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES
Image and Vision Computing Conference,IVCNZ
International Workshop on Security,IWSEC
IEEE LAN/MAN Workshop,LANMAN
International Conference on Principles and Practice of Declarative Programming,PPDP
International Conference on Parallel Processing and Applied Mathematics,PPAM
Pacific Rim International Conference on Artificial Intelligence,PRICAI
International Workshop on Post-Quantum Cryptography,PQCrypto
Product Focused Software Process Improvement,PROFES
International Conference on Provable Security,ProvSec
Privacy in Statistical Databases,PSD
"Annual Conference on Privacy, Security and Trust",PST
Prague Stringology Conference,PSC
"Software Quality, Reliability, and Security",QRS
International Conference on Quality of Multimedia Experience,QoMEX
IEEE International Conference on Quantum Computing and Engineering,QCE
"The International Symposium on Research in Attacks, Intrusions and Defenses",RAID
International Conference on Relational and AlgebraicMethods in Computer Science,RAMiCS
International Conference on Recent Advances in Natural Language Processing,RANLP
International Conference on Reversible Computation,RC
International Conference on Research Challenges in Information Science,RCIS
"International Conference on Robotics, Vision, Signal Processing and Power Applications",RoVISP
Robotics: Science and Systems,RSS
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS
International Conference on the Quality of Information and Communications Technology,QUATIC
IEEE International Symposium on Rapid System Prototyping,RSP
International Joint Conference on Rules and Reasoning,RuleML+RR
International Conference on Runtime Verification,RV
International Conference on Real-Time and Network Systems,RTNS
ACM Symposium on Applied Computing,SAC
Selected Areas in Cryptography,SAC
ACM Symposium on Access Control Models and Technologies,SACMAT
International Symposium on Applied Computational Intelligence and Informatics,SACI
International Symposium on Algorithmic Game Theory,SAGT
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes",SAFEProcess
International Symposium on Applied Machine Intelligence and Informatics,SAMI
The International Conference on Verification and Evaluation of Computer and Communication Systems,VECoS
Visual Information Communication and Interaction,VINCI
Usenix Security Symposium,USENIX-Security
Workshop on Algorithms in Bioinformatics,WABI
IEEE VLSI Test Symposium,VTS
IEEE Workshop on Applications of Computer Vision,WACV
Workshop on Approximation and Online Algorithms,WAOA
IEEE Symposium on Visual Languages and Human-Centric Computing,VL/HCC
Workshop on the Arithmetic of Finite Fields,WAIFI
International Conference and Workshops on Algorithms and Computation,WALCOM
Workshop on Algorithms And Models For The Web Graph,WAW
IEEE Wireless Communications and Networking Conference,WCNC
International Conference on Wireless Networks and Mobile Communications,WINCOM
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt
International Conference on Web Information Systems Engineering,WISE
"Workshop on Logic, Language, Information and Computation",WoLLIC
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems",COINE
"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA
International Computer Software and Applications Conference,COMPSAC
International Conference on Cooperative Information Systems,CoopIS
Combinatorial Pattern Matching,CPM
Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS
International Conference on Risks and Security of Internet and Systems,CRiSIS
Advances in Cryptology,CRYPTO
Computer Sciences and Information Technologies,CSIT
International Conference on Computer Supported Cooperative Work in Design,CSCWD
Cryptographers Track at RSA Conference,CT-RSA
International Conference on Cyberworlds,CW
Design Automation Conf,DAC
"International Conference on Dependable, Autonomic and Secure Computing",DASC
International Workshop on Data Management on New Hardware,DaMoN
International Conference on COMmunication Systems & NETworkS,COMSNETS
"Design, Automation and Test in Europe Conference",DATE
International Conference on Dublin Core and Metadata Applications,DC
Data Compression Conference,DCC
Developments in eSystems Engineering,DeSE
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS
International Conference on Database and Expert Systems Applications,DEXA
Digital Image Computing Techniques and Applications,DICTA
Developments in Language Theory,DLT
International Symposium on Distributed Simulation and Real Time Applications,DS-RT
International Workshop on Data Warehousing and OLAP,DOLAP
IEEE International Conference on e-Science and Grid Computing,e-Science
European Conference on Technology Enhanced Learning,EC-TEL
ACM Conference on Economics and Computation,EC
European Conference on Artificial Intelligence,ECAI
European Conference on Computer Vision,ECCV
International Conference on Modelling and Simulation,ECMS
European Conference on Object-Oriented Programming,ECOOP
European Dependable Computing Conference,EDCC
Educational Data Mining,EDM
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV
IEEE International Enterprise Distributed Object Computing Conference,EDOC
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP
International Conference on Computational Science and its Applications,ICCSA
IEEE International Conference on Document Analysis and Recognition,ICDAR
IEEE International Conference on Computer Vision,ICCV
International Conference on Distributed Computing and Networking,ICDCN
International Conference on Distributed Computing Systems,ICDCS
IEEE International Conference on Data Mining,ICDM
International Conference on Electronic Commerce,ICEC
International Conference on Entertainment Computing,ICEC
International Computing Education Research Workshop,ICER
International Conference on Formal Engineering Methods,ICFEM
IEEE International Conference on Fog and Edge Computing,ICFEC
International Conference on Graph Transformations,ICGT
IEEE International Conference on Image Processing,ICIP
International Conference on Information Systems Security,ICISS
International Conference on Logic Programming,ICLP
International Conference on Learning Representations,ICLR
International Conference on Machine Learning,ICML
International Conference on Machine Learning and Cybernetics,ICMLC
IEEE International Conference on Multimedia and Expo,ICME
